Accept constructive criticism

Action gets results

Against all odds

All is well

Always add value

Always forgive yourself

Always live consciously

Always remain neutral

Analyze your weakness

Appreciate the moment

Ask for help

Avoid comparing yourself

Avoid drunk driving

Avoid financial hierarchies

Babysit for someone

Be a giver

Be here now

Be the change

Be your best

Because I can

Belief in yourself

Believe you can

Believe Achieve Receive

Block out haters

Break bad habits

Buy something useful

Call your mom

Cant stop now

Celebrate your victories

Change is good

Cherish your kids

Connect with nature

Cook at home

Count your blessings

Daydream or romanticize

De-clutter your home

Design your life

Destiny is mine

Develop your strength

Do it now

Do not judge

Do your best

Dont be afraid

Dont be lazy 

Dont chase money

Dont just think

Dont regret decisions

Dont wear makeup 

Donate to charity

Dream believe achieve

Dreams come true

Dress up unnecessarily

Eat balanced diet

Embrace some spirituality

Enjoy a beer

Enough of complaining

Every man dies 

Expel toxic people

Faster harder stronger

Feed the birds

Find a hobby

Find/pursue your passion

Focus and win

Follow your guts

Friends are treasures 

Genius is patience 

Get a massage

Get a pet

Get enough sleep

Get fresh air

Get over yourself

Give a compliment

Give more hugs

Give real value

Go for it

God alone saves

Happiness is success

Have a mentor

Have a party

Health is wealth

Hearts can mend

Help a stranger

Hold a baby

Hope trumps all

I am great

I am sorry

Ill be there

Imperfection is beauty

Inches make champions 

It is possible

Just do it

Keep it cool

Keep it fun

Keep it legal

Keep on shinning

Keep the faith

Kick the jealousy

Know thy self

Knowledge is power 

Laugh out loud

Learn from failures/mistakes

Learn new jokes

Learn something new

Learn to juggle

Let it be

Let it go

Lets be friends

Lets just kiss

Life is awesome

Life is life

Life wont wait

Listen to music

Listen think speak 

Live and learn

Live for others 

Live your life

Live your potential

Live learn love

Love conquers all

Love endures delay

Love Light and Laughter

Love your enemies

Love your job

Love your parents

Maintain your integrity

Make enough money

Make meaningful goals

Make new friends

Make people grin

Make somebodys day

Make things happy

Miles of smiles

Never give up

Never hold grudge

Never look back

No strings attached

Nurture your best

Only hope remains

Organize your life

Passion strength fire

Pick yourself flowers

Plan your vacation

Play the piano

Please forgive me

Procrastination steals time

Rain will fall

Read a book

Read interesting articles

Ready…Aim… Fire

Remember to Live 

Rent a comedy

Respect your elders

Ride or die

Save every penny

Seize the day

Sell More Better

Set your alarm

Settle your debts

Shine your light

Sing and dance

Somebody loves you

Speak the truth

Speak your mind

Start a blog

Stay the course

Stop being judgmental

Subdue your fears

Success breeds success

Success is yours

Sun will shine

Take a compliment

Take a trip

Take a walk

Take action now

Thanks so much

Thats for me

Think for yourself

This will pass

Thought is free 

Time heals everything

Todays a gift

Try something new

Volunteer your time

Wake your dreams

Watch children play

Watch the sunrise

Watch the sunset

Wear something red

Whats Important Now

Who dares win 

Winners never quit

Work it out

Work out daily

Write thank-you notes

Yes you can

You are awesome

You had time

Youre not perfect

Your health matters
